DATE/TICKER,huohuf1w,huohuf1y,huohuf2m,huohuf2w,huohuf3m,huohuf6m,huohuf9m,huohufon,plbpln1m,plbpln3m,plbpln6m,plbplntn,plopln1m,plopln1w,plopln1y,plopln2w,plopln3m,plopln6m,ploplnon,ploplntn
20160101,,,,,,,,,7.338,,,2.027,,,,,,,,
20160104,0.183,1.38,1.35,1.35,1.35,1.35,0.485,1.35,7.336,1.52,1.57,2.016,1.65,1.79,1.6,1.64,1.72,1.77,1.57,1.58
20160105,0.211,1.36,1.35,1.36,1.35,1.35,0.475,1.35,7.342,1.52,1.57,1.991,1.65,1.79,1.6,1.63,1.72,1.77,1.43,1.49
20160106,0.214,1.35,1.35,1.35,1.35,1.35,0.445,1.35,7.319,,,1.988,,,,,,,,
20160107,0.203,1.33,1.35,1.35,1.35,1.35,0.435,1.35,7.274,1.52,1.57,1.959,1.65,1.79,1.6,1.63,1.72,1.77,1.4,1.55
20160108,0.203,1.33,1.35,1.35,1.35,1.35,0.435,1.35,7.305,1.52,1.57,2.012,1.64,1.79,1.59,1.62,1.72,1.77,1.54,1.56
20160111,0.188,1.33,1.35,1.35,1.35,1.35,0.405,1.35,7.289,1.52,1.57,1.981,1.64,1.79,1.59,1.62,1.72,1.77,1.56,1.57
20160112,0.203,1.34,1.35,1.35,1.35,1.35,0.38,1.35,7.266,1.51,1.56,2.012,1.64,1.79,1.59,1.62,1.71,1.76,1.56,1.57
20160113,0.219,1.34,1.35,1.35,1.35,1.35,0.355,1.35,7.272,1.51,1.56,2.025,1.63,1.78,1.59,1.61,1.71,1.76,1.55,1.57
20160114,0.214,1.34,1.35,1.34,1.35,1.35,0.34,1.35,7.277,1.5,1.56,1.967,1.63,1.77,1.59,1.6,1.7,1.76,1.55,1.58
20160115,0.191,1.34,1.35,1.34,1.35,1.35,0.295,1.35,7.287,1.5,1.55,1.972,1.62,1.77,1.59,1.6,1.7,1.75,1.58,1.58
20160118,0.193,1.32,1.35,1.35,1.35,1.35,0.305,1.35,7.278,1.5,1.55,1.924,1.62,1.77,1.59,1.6,1.7,1.75,1.58,1.58
20160119,0.206,1.32,1.35,1.35,1.35,1.35,0.305,1.35,7.261,1.5,1.55,1.923,1.62,1.77,1.59,1.6,1.7,1.75,1.58,1.58
20160120,0.226,1.35,1.35,1.35,1.35,1.35,0.41,1.35,7.26,1.5,1.55,1.93,1.62,1.77,1.58,1.6,1.7,1.75,1.18,1.32
20160121,0.264,1.42,1.35,1.35,1.35,1.35,0.445,1.35,7.258,1.5,1.55,1.958,1.61,1.77,1.57,1.59,1.7,1.75,1.11,1.44
20160122,0.249,1.41,1.35,1.35,1.35,1.35,0.46,1.35,7.26,1.5,1.55,1.963,1.61,1.77,1.55,1.58,1.7,1.75,1.31,1.38
20160125,0.247,1.4,1.35,1.35,1.35,1.35,0.45,1.35,7.279,1.5,1.55,1.966,1.61,1.77,1.55,1.58,1.7,1.75,1.56,1.56
20160126,0.262,1.37,1.35,1.35,1.35,1.35,0.46,1.35,,1.5,1.55,1.913,1.6,1.77,1.56,1.58,1.7,1.75,1.78,1.76
20160127,0.285,1.35,1.35,1.35,1.35,1.35,0.455,1.35,7.278,1.5,1.55,1.942,1.6,1.77,1.57,1.58,1.7,1.75,1.8,1.8
20160128,0.242,1.36,1.35,1.35,1.35,1.35,0.46,1.35,7.276,1.5,1.55,1.958,1.6,1.77,1.56,1.58,1.7,1.75,1.79,1.68
20160129,0.224,1.38,1.35,1.35,1.35,1.35,0.445,1.35,7.273,1.5,1.55,1.922,1.6,1.77,1.56,1.58,1.7,1.75,1.61,1.61
20160201,0.186,1.36,1.35,1.35,1.35,1.35,0.45,1.35,7.308,1.5,1.55,1.89,1.6,1.77,1.56,1.58,1.7,1.75,1.53,1.54
20160202,0.211,1.37,1.35,1.35,1.35,1.35,0.425,1.35,7.307,1.5,1.55,1.906,1.6,1.77,1.55,1.57,1.7,1.75,1.45,1.46
20160203,0.31,1.36,1.35,1.35,1.35,1.35,0.43,1.35,7.32,1.49,1.55,1.838,1.59,1.77,1.55,1.57,1.69,1.75,1.49,1.5
20160204,0.239,1.35,1.35,1.35,1.35,1.35,0.43,1.35,7.303,1.49,1.55,1.885,1.59,1.77,1.55,1.57,1.69,1.75,1.5,1.52
20160205,0.226,1.35,1.35,1.35,1.35,1.35,0.43,1.35,7.299,1.49,1.55,1.868,1.59,1.77,1.55,1.57,1.69,1.75,1.55,1.56
20160208,0.211,1.35,1.35,1.35,1.35,1.35,0.405,1.35,7.391,1.49,1.55,1.888,1.59,1.77,1.55,1.57,1.69,1.75,1.5,1.51
20160209,0.252,1.35,1.35,1.35,1.35,1.35,0.415,1.35,7.386,1.49,1.55,1.768,1.59,1.77,1.55,1.57,1.69,1.75,1.44,1.46
20160210,0.28,1.35,1.35,1.35,1.35,1.35,0.42,1.35,7.38,1.49,1.55,1.773,1.59,1.77,1.55,1.57,1.69,1.75,1.43,1.44
